Filesystem,WiFi,eMMC,Total
77.469,68.083,11.584,93.922
118.436,72.904,10.947,132.058
118.436,72.904,10.947,132.058
118.436,72.904,10.947,132.058
118.436,72.904,10.947,132.058
90.890,68.393,10.610,106.301
118.436,72.904,10.947,132.058
118.436,72.904,10.947,132.058
79.528,70.586,10.618,92.541
79.274,76.267,10.828,92.918
