Filesystem,WiFi,eMMC,Total
598.474,71.044,10.043,613.344
403.719,73.134,10.102,418.697
126.060,73.174,10.683,139.561
804.199,93.912,10.292,819.345
51.600,80.261,9.418,65.920
41.422,71.696,10.146,56.383
859.439,90.012,10.105,872.220
800.515,82.901,9.468,814.750
251.324,74.351,10.684,266.962
844.264,77.711,11.826,861.141
