Filesystem,WiFi,eMMC,Total
25.908,109.887,12.247,122.610
20.997,100.018,12.311,112.735
195.972,89.645,10.289,208.947
125.112,116.647,10.178,137.847
28.611,91.898,12.323,104.581
27.303,103.740,12.334,116.472
22.664,86.713,12.225,99.284
20.591,122.073,12.291,134.767
20.533,128.873,12.262,141.515
340.385,103.450,21.350,366.477
