Filesystem,WiFi,eMMC,Total
63.259,70.792,10.314,81.430
87.100,70.275,9.995,99.453
113.019,74.318,10.219,128.236
78.730,67.164,10.322,93.890
80.353,68.440,9.803,94.958
88.010,73.604,10.244,103.068
83.188,70.479,10.677,98.749
98.245,66.630,10.612,111.582
86.062,69.533,10.281,98.610
102.650,71.512,10.470,118.050
