Filesystem,WiFi,eMMC,Total
65.736,70.641,10.326,81.021
14.058,71.183,12.086,83.746
79.280,72.671,10.846,95.158
112.742,69.488,10.721,128.358
92.384,80.666,10.843,107.912
75.491,68.068,10.227,90.483
42.690,72.230,12.334,84.897
80.181,72.428,10.675,95.713
79.687,82.497,10.805,93.347
67.356,75.960,10.174,86.438
