Filesystem,WiFi,eMMC,Total
329.083,152.569,19.436,353.557
307.660,118.085,18.458,330.835
274.691,95.089,10.692,287.656
634.590,96.741,10.249,649.878
252.614,93.456,10.311,267.738
586.924,94.418,10.082,599.265
795.859,156.887,10.615,811.640
153.877,103.387,20.742,176.960
741.677,106.931,9.501,753.664
183.309,93.240,10.799,198.876
