Filesystem,WiFi,eMMC,Total
452.207,121.511,10.194,467.183
908.564,65.556,24.337,935.144
246.450,73.293,18.442,269.893
289.418,73.813,9.926,304.239
638.863,103.641,10.233,651.946
96.959,66.216,10.827,112.588
287.064,80.536,10.052,301.883
265.902,80.887,9.695,280.573
525.675,68.323,10.235,540.739
582.658,69.734,10.896,596.349
