Filesystem,WiFi,eMMC,Total
529.056,106.418,10.640,544.565
810.868,107.866,10.283,825.911
596.879,103.366,10.320,610.105
507.667,89.113,10.069,520.002
419.881,117.247,10.661,432.684
54.403,107.746,10.623,118.647
646.624,93.386,10.801,662.127
553.321,85.714,10.224,568.152
651.087,114.897,23.068,679.196
139.256,88.404,10.155,154.179
